Time (s),Extension (mm),Load (N),Tensile strain (Strain 1) (mm/mm)
34,2.81537,18131.16797,0.00764
34.1,2.82419,18146.52539,0.00773
34.2,2.83262,18152.47852,0.00783
34.3,2.84081,18157.09375,0.00792
34.4,2.84912,18165.29492,0.00802
34.5,2.85737,18174.53711,0.0081
34.6,2.86581,18183.0293,0.00819
34.7,2.87387,18187.76953,0.00828
34.8,2.88225,18199.45898,0.00838
34.9,2.89087,18207.80859,0.00847
35,2.89887,18213.76953,0.00856
35.1,2.90737,18224.5918,0.00865
35.2,2.91594,18234.8418,0.00874
35.3,2.92412,18236.21484,0.00883
35.4,2.93225,18243.43945,0.00892
35.5,2.94056,18253.9375,0.009
35.6,2.94912,18262.7207,0.0091
35.7,2.95744,18271.84766,0.00919
35.8,2.96587,18282.16992,0.00928
35.9,2.97437,18286.04883,0.00937
36,2.98212,18289.80078,0.00946
36.1,2.9905,18301.52734,0.00954
36.2,2.999,18310.65625,0.00963
36.3,3.00719,18316.49609,0.00972
36.4,3.01575,18328.64648,0.00981
36.5,3.02412,18336.72266,0.0099
36.6,3.03231,18338.98242,0.00999
36.7,3.04062,18349.42383,0.01007
36.8,3.04912,18360.19141,0.01017
36.9,3.05756,18364.1582,0.01025
37,3.06544,18369.5332,0.01034
37.1,3.07394,18381.39258,0.01043
37.2,3.0825,18390.80273,0.01052
37.3,3.09087,18397.77734,0.01061
37.4,3.09931,18406.15039,0.01069
37.5,3.1075,18411.96289,0.01078
37.6,3.11569,18417.56641,0.01087
37.7,3.12375,18423.33789,0.01095
37.8,3.13225,18437.39648,0.01104
37.9,3.14087,18445.07812,0.01113
38,3.14906,18451.77734,0.01122
38.1,3.15731,18458.16797,0.0113
38.2,3.16575,18467.09766,0.01139
38.3,3.174,18472.62891,0.01148
38.4,3.18231,18481.44141,0.01157
38.5,3.19069,18489.64453,0.01165
38.6,3.19919,18496.2832,0.01174
38.7,3.20725,18502.51367,0.01183
38.8,3.21569,18514.16211,0.01192
38.9,3.22437,18521.44531,0.012
39,3.23231,18524.47461,0.01209
39.1,3.24069,18534.23047,0.01218
39.2,3.24887,18538.71484,0.01227
39.3,3.257,18545.77539,0.01235
39.4,3.26575,18560.56836,0.01244
39.5,3.27425,18568.76367,0.01253
39.6,3.28256,18569.7207,0.01262
39.7,3.29056,18575.94141,0.0127
39.8,3.29894,18586.62109,0.01279
39.9,3.30744,18592.21094,0.01288
40,3.3155,18599.7207,0.01297
40.1,3.32412,18611.02344,0.01306
40.2,3.33262,18617.38477,0.01315
40.3,3.34069,18620.49805,0.01323
40.4,3.34912,18630.86328,0.01332
40.5,3.3575,18639.78711,0.01341
40.6,3.36581,18644.19336,0.0135
40.7,3.37387,18648.12891,0.01359
40.8,3.38219,18659.65039,0.01368
40.9,3.39081,18668.02148,0.01376
41,3.39906,18675.07812,0.01385
41.1,3.40744,18682.15039,0.01394
41.2,3.41587,18690.01172,0.01403
41.3,3.42406,18692.43164,0.01412
41.4,3.43219,18699.16406,0.01421
41.5,3.44069,18710.67969,0.0143
41.6,3.44919,18717.18164,0.01438
41.7,3.45744,18723.61914,0.01447
41.8,3.46575,18732.53906,0.01457
41.9,3.47419,18736.4375,0.01465
42,3.48212,18741.48633,0.01474
42.1,3.49069,18753.17188,0.01483
42.2,3.49906,18757.66797,0.01492
42.3,3.50719,18762.64258,0.01501
42.4,3.51569,18773.76367,0.0151
42.5,3.52406,18782.07617,0.01518
42.6,3.5325,18785.57422,0.01527
42.7,3.54069,18792.81055,0.01536
42.8,3.54912,18801.01758,0.01546
42.9,3.5575,18803.82422,0.01554
43,3.56537,18809.28125,0.01563
43.1,3.574,18822.92773,0.01572
43.2,3.58269,18830.9668,0.01581
43.3,3.59081,18833.0332,0.0159
43.4,3.59925,18841.30273,0.01599
43.5,3.60731,18846.12305,0.01608
43.6,3.61562,18853.08398,0.01617
43.7,3.62381,18859.01367,0.01626
43.8,3.63225,18869.73828,0.01635
43.9,3.64094,18875.72656,0.01644
44,3.649,18881.01172,0.01653
44.1,3.65725,18887.24219,0.01662
44.2,3.66587,18897.01172,0.01671
44.3,3.67412,18899.91406,0.0168
44.4,3.68231,18905.33203,0.01689
44.5,3.69069,18913.49219,0.01698
44.6,3.699,18918.98828,0.01707
44.7,3.70731,18926.61328,0.01716
44.8,3.71581,18937.72266,0.01725
44.9,3.72444,18941.95312,0.01734
45,3.73225,18943.52539,0.01743
45.1,3.74062,18952.45703,0.01753
45.2,3.74894,18957.18164,0.01762
45.3,3.75712,18964.36719,0.01771
45.4,3.76581,18975.61523,0.0178
45.5,3.77425,18981.63086,0.01789
45.6,3.78244,18982.20312,0.01798
45.7,3.7905,18988.50391,0.01807
45.8,3.799,18998.99023,0.01816
45.9,3.80756,19003.68359,0.01825
46,3.8155,19006.99023,0.01834
46.1,3.82412,19018.81055,0.01843
46.2,3.8325,19022.99609,0.01852
46.3,3.84062,19027.19727,0.01861
46.4,3.84925,19038.12891,0.01871
46.5,3.8575,19043.49414,0.0188
46.6,3.86581,19046.50195,0.01888
46.7,3.87375,19048.58594,0.01898
46.8,3.88212,19060.67188,0.01907
46.9,3.89087,19069.11133,0.01916
47,3.89906,19074.08594,0.01925
47.1,3.90737,19078.81641,0.01934
47.2,3.91587,19086.31836,0.01944
47.3,3.92394,19087.0293,0.01953
47.4,3.93219,19095.59961,0.01962
47.5,3.94075,19105.14453,0.01971
47.6,3.94925,19109.76953,0.0198
47.7,3.95744,19114.54102,0.01989
47.8,3.96569,19121.42188,0.01999
47.818,3.96712,19121.31836,0.02
47.82,3.96725,19121.26562,0.02
47.85,3.96969,19121.28711,0.02003
47.95,3.9675,19029.14844,0.02009
48.05,3.95537,18756.25586,0.02009
48.15,3.94537,18500.17578,0.02006
48.25,3.93637,18295.73438,0.02004
48.35,3.92794,18109.40625,0.02002
48.45,3.91956,17934.64648,0.02
48.55,3.91131,17757.12695,0.01998
48.65,3.90281,17585.66406,0.01996
48.75,3.89431,17419.68164,0.01994
48.85,3.88619,17257.86328,0.01993
48.95,3.87775,17095.3125,0.0199
49.05,3.8695,16937.37305,0.01988
49.15,3.86131,16787.07031,0.01987
49.25,3.85287,16630.21094,0.01985
49.35,3.8445,16473.90234,0.01982
49.45,3.83594,16321.55762,0.01981
49.55,3.82787,16169.57812,0.01979
49.65,3.81937,16016.67969,0.01977
49.75,3.811,15867.0957,0.01975
49.85,3.80306,15721.40625,0.01973
49.95,3.79456,15569.47266,0.01971
50.05,3.78606,15417.0127,0.0197
50.15,3.77769,15272.35352,0.01968
50.25,3.76944,15123.44336,0.01966
50.35,3.761,14974.75195,0.01964
50.45,3.75256,14832.74414,0.01963
50.55,3.74456,14688.15332,0.0196
50.65,3.73625,14544.80762,0.01959
50.75,3.72769,14401.14062,0.01957
50.85,3.71956,14260.92969,0.01955
50.95,3.71106,14116.73145,0.01953
51.05,3.70262,13973.79785,0.01952
51.15,3.69437,13839.01367,0.01949
51.25,3.68619,13698.98047,0.01947
51.35,3.67794,13563.74902,0.01946
51.45,3.6695,13429.61523,0.01944
51.55,3.66125,13291.61328,0.01943
51.65,3.65269,13155.05371,0.01941
51.75,3.64425,13022.5332,0.01939
51.85,3.63606,12893.89258,0.01938
51.95,3.62769,12763.20215,0.01936
52.05,3.6195,12638.05371,0.01934
52.15,3.61119,12516.74902,0.01933
52.25,3.60281,12389.73438,0.01932
52.35,3.59444,12264.97656,0.01929
52.45,3.58594,12144.49707,0.01928
52.55,3.57781,12023.55078,0.01926
52.65,3.56931,11901.66895,0.01925
52.75,3.56094,11783.7627,0.01923
52.85,3.55294,11671.6582,0.01922
52.95,3.54456,11554.25293,0.01921
53.05,3.53612,11436.75488,0.01919
53.15,3.52775,11327.46289,0.01917
53.25,3.51944,11213.3291,0.01916
53.35,3.51094,11101.30371,0.01914
53.45,3.5025,10995.7627,0.01913
53.55,3.49456,10890,0.01911
53.65,3.48625,10784.82324,0.0191
53.75,3.47762,10678.82617,0.01909
53.85,3.4695,10579.4375,0.01908
53.95,3.46106,10477.25684,0.01906
54.05,3.45262,10378.29395,0.01905
54.15,3.44437,10287.73828,0.01903
54.25,3.43619,10191.30566,0.01903
54.35,3.42787,10100.40918,0.01901
54.45,3.41944,10009.61035,0.019
54.55,3.41125,9916.39844,0.01899
54.65,3.40275,9823.25195,0.01898
54.75,3.39425,9730.72363,0.01896
54.85,3.38606,9641.62207,0.01895
54.95,3.37762,9549.4707,0.01894
55.05,3.36937,9459.3252,0.01892
55.15,3.36119,9373.75098,0.01892
55.25,3.35287,9281.99707,0.0189
55.35,3.34444,9189.24121,0.01889
55.45,3.33587,9101.81348,0.01888
55.55,3.32775,9013.06836,0.01887
55.65,3.31931,8923.11133,0.01886
55.75,3.311,8836.0791,0.01885
55.85,3.303,8752.65332,0.01883
55.95,3.29456,8663.91797,0.01883
56.05,3.28606,8573.79688,0.01881
56.15,3.27762,8489.75879,0.0188
56.25,3.26944,8400.86719,0.01879
56.35,3.26094,8311.34863,0.01878
56.45,3.2525,8227.66797,0.01877
56.55,3.24456,8141.67285,0.01875
56.65,3.23625,8054.20898,0.01874
56.75,3.22769,7964.55518,0.01873
56.85,3.2195,7878.5166,0.01872
56.95,3.211,7787.89502,0.01871
57.05,3.20262,7699.83594,0.01869
57.15,3.19437,7616.72266,0.01868
57.25,3.18619,7528.00635,0.01867
57.35,3.17794,7441.29932,0.01865
57.45,3.16944,7355.65576,0.01864
57.55,3.16125,7267.53418,0.01863
57.65,3.15269,7176.45605,0.01862
57.75,3.14425,7088.72461,0.01861
57.85,3.13606,7003.34082,0.0186
57.95,3.12769,6915.29199,0.01858
58.05,3.11944,6829.13379,0.01857
58.15,3.11119,6747.61621,0.01856
58.25,3.10287,6660.04883,0.01855
58.35,3.09437,6571.02832,0.01853
58.45,3.08587,6487.12891,0.01852
58.55,3.07775,6404.56836,0.01851
58.65,3.06937,6319.01123,0.0185
58.75,3.061,6236.36377,0.01848
58.85,3.053,6158.08838,0.01847
58.95,3.04456,6072.99902,0.01846
59.05,3.03606,5987.13281,0.01844
59.15,3.02769,5909.19043,0.01844
59.25,3.01944,5826.79248,0.01843
59.35,3.011,5743.04785,0.01841
59.45,3.0025,5665.16553,0.0184
59.55,2.99456,5587.3418,0.01839
59.65,2.98631,5507.86523,0.01837
59.75,2.97762,5425.81104,0.01836
59.85,2.9695,5350.26318,0.01836
59.95,2.96106,5268.82471,0.01834
60.05,2.95262,5188.39209,0.01833
60.15,2.94437,5114.90674,0.01831
60.25,2.93625,5037.34766,0.0183
60.35,2.92794,4960.48389,0.01829
60.45,2.91937,4884.65234,0.01828
60.55,2.91125,4807.70264,0.01827
60.65,2.90269,4729.33154,0.01826
60.75,2.89419,4653.01514,0.01825
60.85,2.88606,4580.92725,0.01823
60.95,2.87769,4504.66553,0.01822
61.05,2.86944,4429.8501,0.01821
61.15,2.86112,4360.66357,0.0182
61.25,2.85287,4285.40869,0.01819
61.35,2.84444,4210.30469,0.01817
61.45,2.83587,4139.4165,0.01816
61.55,2.82775,4067.6438,0.01815
61.65,2.81931,3994.80884,0.01814
61.75,2.81094,3923.6062,0.01814
61.85,2.803,3858.35278,0.01812
61.95,2.79456,3785.68433,0.01811
62.05,2.78606,3712.45483,0.0181
62.15,2.77762,3645.84253,0.01809
62.25,2.76937,3576.9458,0.01808
62.35,2.761,3506.34985,0.01807
62.45,2.75256,3440.16187,0.01805
62.55,2.74456,3374.13281,0.01804
62.65,2.73625,3306.5415,0.01803
62.75,2.72756,3236.91284,0.01802
62.85,2.7195,3174.0293,0.01801
62.95,2.71112,3106.45801,0.018
63.05,2.70262,3038.40454,0.01798
63.15,2.69425,2977.06323,0.01798
63.25,2.68619,2912.63794,0.01797
63.35,2.67787,2848.82812,0.01796
63.45,2.66944,2787.95972,0.01794
63.55,2.66125,2725.00073,0.01793
63.65,2.65269,2660.16309,0.01792
63.75,2.64419,2598.33569,0.01791
63.85,2.636,2540.00732,0.0179
63.95,2.62775,2479.53638,0.01789
64.05,2.61944,2419.37329,0.01788
64.15,2.61112,2363.8877,0.01787
64.25,2.60287,2304.03052,0.01786
64.35,2.59437,2244.94092,0.01785
64.45,2.58581,2188.73267,0.01784
64.55,2.57781,2133.77002,0.01783
64.65,2.56931,2076.43237,0.01782
64.75,2.56094,2020.94336,0.01781
64.85,2.55294,1970.0874,0.0178
64.95,2.54456,1914.79675,0.01779
65.05,2.53606,1858.65149,0.01778
65.15,2.52762,1807.29443,0.01777
65.25,2.51937,1754.27026,0.01776
65.35,2.51094,1700.3324,0.01775
65.45,2.50244,1650.18164,0.01774
65.55,2.49462,1600.39221,0.01773
65.65,2.48625,1548.46497,0.01772
65.75,2.47756,1495.88672,0.01771
65.85,2.4695,1448.03687,0.0177
65.95,2.46106,1397.17017,0.0177
66.05,2.45262,1346.93982,0.01768
66.15,2.44437,1302.3075,0.01767
66.25,2.43625,1254.82434,0.01767
66.35,2.42787,1207.52075,0.01766
66.45,2.41937,1162.89099,0.01765
66.55,2.41125,1118.85095,0.01764
66.65,2.40275,1073.29407,0.01763
66.75,2.39425,1029.31628,0.01763
66.85,2.386,987.87311,0.01762
66.95,2.37762,945.41516,0.01761
67.05,2.36937,904.10822,0.0176
67.15,2.36119,866.85699,0.01759
67.25,2.35287,829.80182,0.01758
67.35,2.34437,793.11578,0.01758
67.45,2.33581,757.77808,0.01757
67.55,2.32775,723.7951,0.01756
67.65,2.31931,689.87842,0.01755
67.75,2.311,656.34985,0.01754
67.85,2.30294,626.09271,0.01753
67.95,2.29456,593.4552,0.01753
68.05,2.28606,559.37079,0.01752
68.15,2.27762,529.53168,0.0175
68.25,2.2695,500.06937,0.01749
68.35,2.261,470.49384,0.01748
68.45,2.25244,443.35245,0.01747
68.55,2.24456,419.01944,0.01746
68.65,2.23625,394.70987,0.01745
68.75,2.22762,370.22113,0.01744
68.85,2.2195,350.91153,0.01743
68.95,2.21106,330.52249,0.01742
69.05,2.20256,310.41568,0.01741
69.15,2.19425,294.29175,0.0174
69.25,2.18619,278.01642,0.01739
69.35,2.17794,262.27747,0.01738
69.45,2.16944,247.34598,0.01737
69.55,2.16125,233.26135,0.01736
69.65,2.15269,218.63808,0.01735
69.75,2.14419,204.99004,0.01735
69.85,2.13606,193.65823,0.01734
69.95,2.12775,181.54153,0.01733
70.05,2.11937,169.83835,0.01733
70.15,2.11106,159.47133,0.01732
70.25,2.10281,148.96143,0.01732
