Time (s),Extension (mm),Load (N),Tensile strain (Strain 1) (mm/mm)
0,-0.01781,-4.57702,0.00001
0.1,-0.01213,52.35023,0.00002
0.2,-0.00175,289.35413,0.00004
0.3,0.00681,471.61429,0.00006
0.4,0.01562,617.08899,0.00007
0.5,0.02412,691.17627,0.00008
0.6,0.03237,735.89685,0.00008
0.7,0.04062,776.18298,0.00008
0.8,0.04912,815.66144,0.00008
0.9,0.05737,850.44623,0.00009
1,0.06537,884.77808,0.00008
1.1,0.07406,920.82306,0.00008
1.2,0.08256,955.56824,0.00008
1.3,0.09069,988.70154,0.00009
1.4,0.09919,1025.40601,0.00008
1.5,0.10744,1062.31787,0.00008
1.6,0.11569,1098.44666,0.00008
1.7,0.12381,1136.52209,0.00008
1.8,0.13225,1176.73145,0.00008
1.9,0.14081,1216.03381,0.00008
2,0.14894,1255.90967,0.00008
2.1,0.15744,1297.12488,0.00008
2.2,0.16587,1340.07263,0.00009
2.3,0.17394,1380.23633,0.00009
2.4,0.18231,1423.15308,0.00009
2.5,0.19062,1467.89417,0.00009
2.6,0.199,1511.46423,0.00009
2.7,0.20737,1558.80066,0.00009
2.8,0.21575,1606.39209,0.00009
2.9,0.22419,1651.84363,0.00009
3,0.23219,1698.76978,0.00009
3.1,0.24069,1748.87122,0.00009
3.2,0.249,1796.5166,0.0001
3.3,0.25706,1844.41187,0.00009
3.4,0.26575,1897.20667,0.0001
3.5,0.27412,1948.69189,0.0001
3.6,0.28237,1996.92822,0.0001
3.7,0.29062,2048.52417,0.0001
3.8,0.29906,2101.45532,0.0001
3.9,0.30737,2150.43896,0.00011
4,0.31537,2201.81104,0.00011
4.1,0.32406,2257.15771,0.00011
4.2,0.33256,2309.927,0.00011
4.3,0.34075,2360.71338,0.00011
4.4,0.34912,2414.37793,0.00012
4.5,0.35744,2467.17041,0.00012
4.6,0.36569,2517.79443,0.00012
4.7,0.37387,2568.24854,0.00013
4.8,0.38225,2619.53271,0.00012
4.9,0.39081,2668.51978,0.00013
5,0.39894,2717.20557,0.00013
5.1,0.40744,2765.84717,0.00014
5.2,0.41587,2813.20288,0.00014
5.3,0.424,2857.78735,0.00014
5.4,0.43225,2905.35547,0.00015
5.5,0.44062,2953.38818,0.00015
5.6,0.44906,2999.89893,0.00016
5.7,0.45737,3050.22144,0.00016
5.8,0.46581,3100.17188,0.00016
5.9,0.47425,3146.29272,0.00017
6,0.48219,3193.7561,0.00017
6.1,0.49069,3245.36011,0.00018
6.2,0.499,3293.14575,0.00019
6.3,0.50706,3341.52515,0.00019
6.4,0.51575,3395.30322,0.0002
6.5,0.52419,3445.70752,0.0002
6.6,0.53237,3492.33716,0.00021
6.7,0.54062,3544.64917,0.00022
6.8,0.54912,3597.46899,0.00022
6.9,0.55737,3645.22192,0.00022
7,0.56544,3696.51807,0.00023
7.1,0.57406,3750.97876,0.00024
7.2,0.5825,3802.46338,0.00025
7.3,0.59075,3854.67969,0.00025
7.4,0.59919,3908.57495,0.00026
7.5,0.60744,3961.41968,0.00026
7.6,0.61562,4012.60669,0.00027
7.7,0.62375,4065.54932,0.00027
7.8,0.63225,4122.10205,0.00028
7.9,0.64087,4176.59375,0.00029
8,0.649,4230.83594,0.0003
8.1,0.65737,4285.94238,0.0003
8.2,0.66575,4340.24902,0.00031
8.3,0.674,4393.9458,0.00032
8.4,0.68231,4450.79443,0.00032
8.5,0.69069,4507.45312,0.00033
8.6,0.69912,4561.5752,0.00034
8.7,0.70731,4618.80615,0.00034
8.8,0.71575,4677.36816,0.00035
8.9,0.72431,4733.39014,0.00036
9,0.73225,4788.84033,0.00037
9.1,0.74069,4847.91895,0.00037
9.2,0.74894,4902.67236,0.00038
9.3,0.75706,4959.23193,0.00039
9.4,0.76575,5022.30273,0.0004
9.5,0.77419,5081.92432,0.0004
9.6,0.78244,5135.9292,0.00041
9.7,0.79062,5195.6665,0.00042
9.8,0.799,5255.2627,0.00043
9.9,0.80731,5311.31836,0.00044
10,0.8155,5372.57617,0.00044
10.1,0.82412,5434.90186,0.00045
10.2,0.83256,5493.86133,0.00046
10.3,0.84062,5550.46631,0.00047
10.4,0.84912,5614.33252,0.00048
10.5,0.8575,5676.02051,0.00049
10.6,0.86569,5734.6875,0.0005
10.7,0.87387,5794.94922,0.00051
10.8,0.88225,5857.87109,0.00051
10.9,0.89075,5918.73877,0.00052
11,0.89894,5981.57129,0.00053
11.1,0.90744,6045.58789,0.00054
11.2,0.91587,6106.21777,0.00055
11.3,0.924,6164.92383,0.00055
11.4,0.93219,6227.45068,0.00056
11.5,0.94062,6291.57129,0.00057
11.6,0.94912,6354.01514,0.00058
11.7,0.95737,6418.02686,0.00059
11.8,0.96581,6483.66504,0.0006
11.9,0.97419,6543.35107,0.00061
12,0.98206,6605.42334,0.00062
12.1,0.99069,6673.38135,0.00062
12.2,0.999,6734.40381,0.00064
12.3,1.00712,6796.34277,0.00064
12.4,1.01575,6865.08496,0.00065
12.5,1.02406,6929.43701,0.00066
12.6,1.03237,6990.46338,0.00067
12.7,1.04062,7058.12354,0.00068
12.8,1.04912,7122.81543,0.00069
12.9,1.05744,7184.43115,0.0007
13,1.06537,7247.46436,0.00071
13.1,1.074,7317.38574,0.00072
13.2,1.08256,7384.21094,0.00073
13.3,1.09075,7447.5708,0.00074
13.4,1.09919,7513.96338,0.00075
13.5,1.10737,7578.24854,0.00076
13.6,1.11556,7641.69189,0.00077
13.7,1.12381,7707.34717,0.00077
13.8,1.13231,7776.16211,0.00078
13.9,1.14087,7840.79199,0.00079
14,1.14894,7905.78223,0.0008
14.1,1.15731,7971.71875,0.00081
14.2,1.16581,8038.28613,0.00081
14.3,1.174,8102.13672,0.00083
14.4,1.18231,8168.0791,0.00083
14.5,1.19069,8233.78223,0.00084
14.6,1.199,8297.44434,0.00085
14.7,1.20731,8366.27637,0.00086
14.8,1.21581,8435.39941,0.00087
14.9,1.22425,8497.74902,0.00088
15,1.23219,8561.94922,0.00089
15.1,1.24062,8629.29102,0.00089
15.2,1.24887,8692.12598,0.0009
15.3,1.25712,8758.78516,0.00091
15.4,1.26575,8829.9668,0.00092
15.5,1.27419,8896.1709,0.00093
15.6,1.28244,8958.43262,0.00093
15.7,1.2905,9024.68457,0.00094
15.8,1.299,9093.41895,0.00095
15.9,1.30744,9158.26562,0.00096
16,1.31544,9223.4668,0.00097
16.1,1.32406,9294.00293,0.00098
16.2,1.3325,9360.5293,0.00099
16.3,1.34062,9425.6543,0.001
16.4,1.34919,9496.45215,0.00101
16.5,1.3575,9563.52637,0.00101
16.6,1.36569,9627.52148,0.00102
16.7,1.37381,9693.81641,0.00103
16.8,1.38212,9762.97949,0.00104
16.9,1.39081,9832.62988,0.00105
17,1.399,9901.16211,0.00105
17.1,1.40737,9968.6084,0.00106
17.2,1.41581,10035.72559,0.00107
17.3,1.42394,10099.88477,0.00108
17.4,1.43219,10169.15723,0.00109
17.5,1.44069,10238.80957,0.00109
17.6,1.44912,10305.22266,0.00111
17.7,1.45737,10374.98633,0.00111
17.8,1.46569,10444.59863,0.00112
17.9,1.47419,10510.45312,0.00113
18,1.48219,10578.77246,0.00114
18.1,1.49069,10649.30371,0.00114
18.2,1.499,10714.98438,0.00115
18.3,1.50706,10781.21387,0.00116
18.4,1.51562,10854.02832,0.00117
18.5,1.52419,10924.85156,0.00118
18.6,1.5325,10990.89746,0.00118
18.7,1.54062,11059.76367,0.0012
18.8,1.54906,11128.80371,0.0012
18.9,1.55731,11193.00684,0.00121
19,1.56537,11262.71973,0.00122
19.1,1.57412,11337.64941,0.00123
19.2,1.58262,11406.10156,0.00124
19.3,1.59075,11473.54492,0.00125
19.4,1.59912,11544.18945,0.00126
19.5,1.60737,11613.89844,0.00126
19.6,1.61575,11683.60742,0.00127
19.7,1.62387,11752.08789,0.00129
19.8,1.63225,11824.56348,0.00129
19.9,1.64081,11893.9375,0.00131
20,1.64887,11963.77832,0.00131
20.1,1.65737,12036.8291,0.00132
20.2,1.66587,12108.47461,0.00133
20.3,1.67406,12174.09375,0.00134
20.4,1.68225,12244.64062,0.00135
20.5,1.69056,12314.40332,0.00136
20.6,1.69906,12384.93555,0.00137
20.7,1.70744,12459.62402,0.00139
20.8,1.71581,12532.41699,0.0014
20.9,1.72431,12599.73242,0.00141
21,1.73212,12667.36816,0.00142
21.1,1.7405,12740.43359,0.00143
21.2,1.749,12810.56543,0.00143
21.3,1.75712,12879.60156,0.00145
21.4,1.76575,12955.26465,0.00146
21.5,1.77412,13026.875,0.00147
21.6,1.78231,13092.14941,0.00148
21.7,1.79056,13165.45117,0.00149
21.8,1.79912,13238.73828,0.0015
21.9,1.80744,13305.21289,0.00151
22,1.81544,13375.1543,0.00152
22.1,1.82394,13449.09668,0.00153
22.2,1.8325,13520.80273,0.00154
22.3,1.84081,13592.53125,0.00156
22.4,1.84925,13664.61621,0.00157
22.5,1.85744,13733.58984,0.00158
22.6,1.86562,13801.94727,0.00159
22.7,1.87375,13871.30762,0.00161
22.8,1.88219,13946.74316,0.00162
22.9,1.89087,14019.57227,0.00163
23,1.899,14089.82715,0.00164
23.1,1.90731,14159.89062,0.00166
23.2,1.91569,14230.25977,0.00167
23.3,1.924,14298.83203,0.00168
23.4,1.93237,14373.375,0.00169
23.5,1.94069,14442.69434,0.00171
23.6,1.94906,14511.13477,0.00172
23.7,1.95725,14582.35059,0.00173
23.8,1.96569,14657.08203,0.00175
23.9,1.97431,14726.93359,0.00176
24,1.98219,14794.48633,0.00177
24.1,1.99069,14866.19141,0.00178
24.2,1.99887,14932.4043,0.0018
24.3,2.00694,15000.04785,0.00181
24.4,2.01575,15077.62109,0.00182
24.5,2.02419,15148.94824,0.00184
24.6,2.03244,15212.19727,0.00185
24.7,2.04062,15281.82227,0.00186
24.8,2.04894,15349.78711,0.00188
24.9,2.05737,15415.48926,0.00189
25,2.0655,15485.11426,0.00191
25.1,2.07412,15557.27734,0.00192
25.2,2.08262,15624.31445,0.00194
25.3,2.09062,15687.7373,0.00195
25.4,2.09906,15757.17773,0.00197
25.5,2.10744,15826.58398,0.00199
25.6,2.11581,15891.65918,0.002
25.7,2.12387,15954.66699,0.00202
25.8,2.13219,16022.50195,0.00204
25.9,2.14075,16088.61523,0.00206
26,2.149,16155.5293,0.00207
26.1,2.15744,16221.48633,0.00209
26.2,2.16587,16285.58008,0.00211
26.3,2.17406,16344.66602,0.00213
26.4,2.18212,16407.16797,0.00215
26.5,2.19062,16472.70703,0.00217
26.6,2.19919,16536.17969,0.00219
26.7,2.20737,16598.76953,0.00221
26.8,2.21581,16662.1543,0.00224
26.9,2.22412,16717.65625,0.00225
27,2.23212,16775.66992,0.00228
27.1,2.24069,16839.96094,0.00231
27.2,2.249,16894.5293,0.00233
27.3,2.25712,16948.75,0.00235
27.4,2.26569,17010.19727,0.00238
27.5,2.27406,17065.64648,0.00241
27.6,2.28244,17117.29883,0.00244
27.7,2.29062,17171.02539,0.00246
27.8,2.29906,17223.74805,0.00249
27.9,2.30744,17269.52734,0.00252
28,2.31531,17316.57031,0.00256
28.1,2.32406,17369.85547,0.00259
28.2,2.33262,17417.11133,0.00263
28.3,2.34081,17456.45508,0.00267
28.4,2.34919,17498.49805,0.00271
28.5,2.35737,17537.02344,0.00275
28.6,2.36562,17571.50977,0.0028
28.7,2.37387,17605.44336,0.00285
28.8,2.38231,17640.75586,0.0029
28.9,2.39087,17668.1543,0.00296
29,2.39894,17692.26367,0.00303
29.1,2.40725,17715.20312,0.0031
29.2,2.41587,17739.23242,0.00317
29.3,2.42406,17752.64844,0.00325
29.4,2.43231,17768.14453,0.00332
29.5,2.44075,17783.95703,0.00341
29.6,2.44906,17794.42969,0.0035
29.7,2.45737,17807.05859,0.00359
29.8,2.46581,17821.24414,0.00369
29.9,2.47437,17827.04883,0.00378
30,2.48225,17831.95703,0.00387
30.1,2.49062,17842.81055,0.00396
30.2,2.49894,17848.7207,0.00405
30.3,2.50719,17856.74023,0.00414
30.4,2.51581,17868.92578,0.00424
30.5,2.52419,17874.55273,0.00434
30.6,2.5325,17876.7832,0.00443
30.7,2.5405,17883.27539,0.00452
30.8,2.54906,17894.52344,0.00461
30.9,2.55756,17899.07031,0.00471
31,2.5655,17903.2168,0.0048
31.1,2.57412,17915.08984,0.0049
31.2,2.5825,17920.76172,0.00499
31.3,2.59069,17925.80469,0.00509
31.4,2.59925,17935.82227,0.00518
31.5,2.6075,17942.30469,0.00528
31.6,2.61581,17947.20898,0.00537
31.7,2.62375,17950.63281,0.00547
31.8,2.63212,17963.25977,0.00557
31.9,2.64094,17973.71094,0.00566
32,2.64906,17979.18164,0.00576
32.1,2.65737,17985.25391,0.00585
32.2,2.66581,17994.10742,0.00595
32.3,2.67394,17996.57031,0.00605
32.4,2.68225,18007.19141,0.00614
32.5,2.69075,18018.30859,0.00624
32.6,2.69919,18023.97461,0.00633
32.7,2.70744,18030.76758,0.00643
32.8,2.71569,18040.86133,0.00652
32.9,2.72425,18046.80469,0.00662
33,2.73225,18053.36328,0.00671
33.1,2.74069,18063.29883,0.0068
33.2,2.74906,18069.89648,0.0069
33.3,2.75706,18074.91211,0.00699
33.4,2.76562,18088.18945,0.00709
33.5,2.77419,18098.84961,0.00718
33.6,2.78262,18102.56445,0.00728
33.7,2.79062,18108.09375,0.00737
33.8,2.79912,18119.23438,0.00746
33.9,2.80731,18122.35742,0.00755
