Time,Extension,Load,Tensile strain (Strain 1)
(s),(mm),(N),(mm/mm)
"0.00000","1.54187","10.00560","0.00001"
"0.10000","1.54762","67.29419","0.00001"
"0.20000","1.55775","294.67078","0.00004"
"0.30000","1.56650","487.55994","0.00007"
"0.40000","1.57531","659.51575","0.00008"
"0.50000","1.58381","803.17035","0.00011"
"0.60000","1.59200","923.81519","0.00013"
"0.70000","1.60044","1032.50916","0.00015"
"0.80000","1.60881","1130.72021","0.00017"
"0.90000","1.61694","1220.48071","0.00019"
"1.00000","1.62512","1309.09705","0.00022"
"1.10000","1.63362","1396.26294","0.00024"
"1.20000","1.64212","1479.69141","0.00025"
"1.30000","1.65031","1561.73462","0.00028"
"1.40000","1.65881","1644.23254","0.00030"
"1.50000","1.66719","1723.96948","0.00032"
"1.60000","1.67531","1800.38611","0.00034"
"1.70000","1.68362","1878.36255","0.00036"
"1.80000","1.69200","1956.19128","0.00038"
"1.90000","1.70037","2030.32788","0.00040"
"2.00000","1.70869","2108.54492","0.00042"
"2.10000","1.71719","2185.78833","0.00044"
"2.20000","1.72556","2257.83936","0.00046"
"2.30000","1.73350","2329.10938","0.00048"
"2.40000","1.74200","2401.31055","0.00049"
"2.50000","1.75037","2464.70874","0.00051"
"2.60000","1.75844","2526.25439","0.00053"
"2.70000","1.76706","2593.29028","0.00054"
"2.80000","1.77550","2658.44263","0.00056"
"2.90000","1.78375","2719.22339","0.00057"
"3.00000","1.79200","2784.67285","0.00059"
"3.10000","1.80050","2850.80371","0.00060"
"3.20000","1.80875","2911.37378","0.00061"
"3.30000","1.81681","2975.67944","0.00062"
"3.40000","1.82537","3042.91772","0.00064"
"3.50000","1.83387","3107.70361","0.00065"
"3.60000","1.84206","3172.19312","0.00066"
"3.70000","1.85050","3239.43433","0.00067"
"3.80000","1.85881","3304.99902","0.00069"
"3.90000","1.86694","3367.88403","0.00070"
"4.00000","1.87512","3434.11377","0.00071"
"4.10000","1.88362","3503.15820","0.00072"
