Time (s),Extension (mm),Load (N),Tensile strain (Strain 1) (mm/mm)
107.542,4.12375,21029.29883,0.03443
107.642,4.13219,21035.50586,0.0345
107.742,4.14069,21037.97852,0.03457
107.842,4.14925,21035.02344,0.03463
107.942,4.15706,21031.0957,0.03469
108.042,4.16544,21035.36133,0.03476
108.142,4.17394,21038.59961,0.03483
108.242,4.18212,21036.07227,0.03489
108.342,4.19069,21041.25977,0.03496
108.442,4.19906,21042.69922,0.03503
108.542,4.20719,21037.23047,0.03509
108.642,4.21556,21042.19141,0.03516
108.742,4.224,21044.00195,0.03522
108.842,4.23244,21042.73047,0.03529
108.942,4.24037,21038.72266,0.03535
109.042,4.24875,21041.77148,0.03542
109.142,4.25725,21046.04492,0.03548
109.242,4.26569,21046.06836,0.03555
109.342,4.274,21045.99609,0.03562
109.442,4.28225,21047.60352,0.03568
109.542,4.29069,21045.80859,0.03575
109.642,4.29856,21043.14453,0.03581
109.742,4.30712,21050.48828,0.03588
109.842,4.31587,21053.31641,0.03595
109.942,4.324,21049.44336,0.03601
110.042,4.33225,21050.62695,0.03607
110.142,4.34062,21052.06055,0.03614
110.242,4.34881,21048.73242,0.0362
110.342,4.35731,21053.35938,0.03627
110.442,4.3655,21053.10156,0.03634
110.542,4.37394,21050.5625,0.0364
110.642,4.38206,21053.85547,0.03647
110.742,4.39056,21056.98047,0.03653
110.842,4.39919,21056.7793,0.0366
110.942,4.40712,21054.04492,0.03666
111.042,4.41569,21058.38867,0.03673
111.142,4.42387,21057.46484,0.0368
111.242,4.43194,21053.65625,0.03686
111.342,4.44062,21061.95508,0.03693
111.442,4.44912,21064.7832,0.03699
111.542,4.45744,21059.56055,0.03706
111.642,4.46562,21061.87695,0.03712
111.742,4.47375,21060.01367,0.03719
111.842,4.48231,21061.98438,0.03726
111.942,4.49044,21061.35938,0.03732
112.042,4.49894,21064.5918,0.03739
112.142,4.50744,21066.62305,0.03745
112.242,4.51562,21063.26367,0.03752
112.342,4.52387,21062.39844,0.03758
112.442,4.53219,21068.10156,0.03765
112.542,4.54081,21067.3418,0.03772
112.642,4.54869,21064.22852,0.03778
112.742,4.55712,21068.85547,0.03784
112.842,4.56569,21069.33789,0.03791
112.942,4.57387,21069.54883,0.03798
113.042,4.58231,21071.07422,0.03804
113.142,4.59081,21073.1875,0.03811
113.242,4.59887,21065.97461,0.03817
113.342,4.60712,21069.37305,0.03824
113.442,4.61544,21071.07422,0.0383
113.542,4.62394,21070.92188,0.03837
113.642,4.63219,21073.93945,0.03844
113.742,4.64075,21076.32031,0.0385
113.842,4.64906,21072.49805,0.03857
113.942,4.65694,21070.1875,0.03863
114.042,4.66562,21077.32227,0.0387
114.142,4.674,21077.58203,0.03876
114.242,4.68206,21072.57617,0.03883
114.342,4.69062,21078.85547,0.0389
114.442,4.69894,21079.79492,0.03896
114.542,4.70731,21077.5,0.03903
114.642,4.71569,21080.75195,0.03909
114.742,4.724,21079.4082,0.03916
114.842,4.73237,21078.67773,0.03922
114.942,4.74031,21075.06836,0.03929
115.042,4.74869,21079.38086,0.03935
115.142,4.75744,21085.51367,0.03942
115.242,4.76575,21081.94141,0.03949
115.342,4.774,21079.97266,0.03955
115.442,4.78219,21083.60156,0.03962
115.542,4.79062,21081.58203,0.03968
115.642,4.79862,21081.34375,0.03975
115.742,4.80719,21086.70508,0.03981
115.842,4.81587,21087.37695,0.03988
115.942,4.82394,21084.37109,0.03995
116.042,4.83212,21084.32422,0.04001
116.142,4.84069,21088.58008,0.04008
116.242,4.84887,21083.95898,0.04014
116.342,4.85725,21086.58008,0.04021
116.442,4.8655,21087.20703,0.04027
116.542,4.87381,21083.66211,0.04034
116.642,4.88206,21088.36523,0.0404
116.742,4.89069,21093.22461,0.04047
116.842,4.89919,21089.64844,0.04054
116.942,4.90712,21086.07227,0.0406
117.042,4.91556,21090.73633,0.04067
117.142,4.92375,21089.43359,0.04073
117.242,4.932,21089.30078,0.0408
117.342,4.94069,21095.85547,0.04086
117.442,4.94912,21095.86328,0.04093
117.542,4.95737,21091.67773,0.041
117.642,4.9655,21092.26367,0.04106
117.742,4.97387,21094.09375,0.04113
117.842,4.98244,21094.7168,0.04119
117.942,4.99037,21090.72266,0.04126
118.042,4.99887,21093.62305,0.04132
118.142,5.00731,21097.39062,0.04139
118.242,5.01556,21094.22656,0.04145
118.342,5.02406,21096.92188,0.04152
118.442,5.03231,21099.85938,0.04159
118.542,5.04075,21095.47266,0.04165
118.642,5.04862,21093.64844,0.04171
118.742,5.057,21097.95117,0.04178
118.842,5.06581,21101.71094,0.04185
118.942,5.074,21099.53125,0.04191
119.042,5.08231,21099.77734,0.04198
119.142,5.09075,21101.79297,0.04205
119.242,5.09875,21094.7207,0.04211
119.342,5.10712,21098.83398,0.04218
119.442,5.1155,21101.73047,0.04224
119.542,5.12394,21099.29297,0.04231
119.642,5.13219,21101.92969,0.04237
119.742,5.14056,21102.45508,0.04244
119.842,5.14906,21100.95117,0.04251
119.942,5.15706,21099.74805,0.04257
120.042,5.16569,21105.44922,0.04264
120.142,5.174,21103.99414,0.0427
120.242,5.18206,21099.58008,0.04277
120.342,5.19044,21104.50586,0.04283
120.442,5.199,21108.38672,0.0429
120.542,5.20744,21105.85547,0.04297
120.642,5.21569,21106.43164,0.04303
120.742,5.22394,21105.52344,0.0431
120.842,5.23231,21104.42773,0.04316
120.942,5.24031,21102.67969,0.04322
121.042,5.24887,21107.61328,0.04329
121.142,5.25744,21110.81641,0.04336
121.242,5.26575,21106.90234,0.04342
121.342,5.27394,21105.23633,0.04349
121.442,5.28212,21108.66797,0.04355
121.542,5.29075,21108.96484,0.04362
121.642,5.29875,21107.20508,0.04368
121.742,5.30712,21109.85156,0.04375
121.842,5.31581,21111.7168,0.04382
121.942,5.32381,21107.98633,0.04388
122.042,5.33219,21111.63086,0.04395
122.142,5.34081,21114.73438,0.04402
122.242,5.34887,21107.42969,0.04408
122.342,5.35725,21109.5,0.04414
122.442,5.36537,21109.92188,0.04421
122.542,5.37381,21108.70508,0.04428
122.642,5.38219,21114.01953,0.04434
122.742,5.39069,21115.33203,0.04441
122.842,5.39925,21112.63477,0.04448
122.942,5.407,21108.19531,0.04454
123.042,5.4155,21112.9375,0.0446
123.142,5.42394,21115.09961,0.04467
123.242,5.43206,21111.35742,0.04473
123.342,5.44069,21116.89062,0.0448
123.442,5.44906,21118.23047,0.04487
123.542,5.45725,21112.48438,0.04493
123.642,5.46556,21116.06836,0.045
123.742,5.47394,21116.73828,0.04506
123.842,5.48244,21116.64062,0.04513
123.942,5.49044,21112.13281,0.04519
124.042,5.49875,21114.76562,0.04526
124.142,5.50725,21118.89844,0.04533
124.242,5.51569,21117.53516,0.04539
124.342,5.524,21116.53125,0.04546
124.442,5.53231,21119.37695,0.04552
124.542,5.54069,21116.33008,0.04559
124.642,5.5485,21113.47266,0.04565
124.742,5.55712,21120.49805,0.04572
124.842,5.56587,21122.94531,0.04579
124.942,5.57394,21118.76367,0.04585
125.042,5.58225,21119.2832,0.04592
125.142,5.59069,21120.14453,0.04598
125.242,5.59875,21115.62109,0.04605
125.342,5.60731,21120.3457,0.04611
125.442,5.6155,21119.85938,0.04618
125.542,5.62394,21116.91211,0.04624
125.642,5.63206,21119.75781,0.04631
125.742,5.6405,21121.96484,0.04638
125.842,5.64919,21122.00781,0.04644
125.942,5.65712,21119.39453,0.04651
126.042,5.66569,21122.32812,0.04657
126.142,5.67387,21121.23633,0.04664
126.242,5.68187,21117.60156,0.0467
126.342,5.69056,21124.98047,0.04677
126.442,5.69906,21126.98047,0.04684
126.542,5.70744,21123.09766,0.0469
126.642,5.71562,21123.49219,0.04697
126.742,5.72381,21122.53906,0.04703
126.842,5.73225,21121.66797,0.0471
126.942,5.74044,21121.49023,0.04716
127.042,5.74887,21123.93359,0.04723
127.142,5.75744,21126.69922,0.0473
127.242,5.76562,21122.63086,0.04736
127.342,5.77387,21121.89062,0.04743
127.442,5.78225,21127.76953,0.04749
127.542,5.79075,21125.08789,0.04756
127.642,5.79875,21122.2793,0.04762
127.742,5.80712,21125.68359,0.04769
127.842,5.81569,21126.31641,0.04775
127.942,5.82387,21125.23633,0.04782
128.042,5.83225,21127.95508,0.04788
128.142,5.84081,21129.3125,0.04795
128.242,5.84894,21122.20898,0.04802
128.342,5.85706,21123.4375,0.04808
128.442,5.86537,21125.8418,0.04815
128.542,5.87387,21124.37891,0.04821
128.642,5.88219,21128.35547,0.04828
128.742,5.89069,21129.33008,0.04835
128.842,5.89912,21125.62891,0.04841
128.942,5.90694,21123.26758,0.04847
129.042,5.91562,21129.43945,0.04854
129.142,5.924,21129.17578,0.04861
129.242,5.93206,21124.03906,0.04867
129.342,5.94062,21130.34961,0.04874
129.442,5.94894,21130.46484,0.0488
129.542,5.95731,21128.32422,0.04887
129.642,5.96562,21130.10352,0.04894
129.742,5.974,21129.39453,0.049
129.842,5.98237,21127.94922,0.04907
129.942,5.99025,21124.07031,0.04913
130.042,5.99875,21128.02344,0.0492
130.142,6.00744,21133.43945,0.04926
130.242,6.01575,21129.31445,0.04933
130.342,6.02406,21128.16602,0.0494
130.442,6.03219,21129.75781,0.04946
130.542,6.04056,21127.47656,0.04953
130.642,6.04862,21127.61523,0.04959
130.742,6.05712,21132.09961,0.04966
130.842,6.06581,21132.1875,0.04972
130.942,6.07394,21129.74805,0.04979
131.042,6.08212,21129.68555,0.04985
131.142,6.09075,21132.85938,0.04992
131.242,6.09894,21128.31445,0.04998
131.342,6.10725,21129.7793,0.05005
131.442,6.1155,21129.35938,0.05012
131.542,6.12381,21126.36914,0.05018
131.642,6.132,21130.93945,0.05025
131.742,6.14069,21134.88867,0.05031
131.842,6.14919,21131.89844,0.05038
131.942,6.15712,21127.24023,0.05044
132.042,6.16556,21131.2207,0.05051
132.142,6.17381,21130.48242,0.05057
132.242,6.182,21128.94922,0.05064
132.342,6.19069,21135.61328,0.05071
132.442,6.19912,21135.76758,0.05077
132.542,6.20737,21130.91992,0.05084
132.642,6.21556,21131.8457,0.0509
132.742,6.22387,21132.38477,0.05097
132.842,6.23244,21133.06055,0.05104
132.942,6.24044,21128.4707,0.0511
133.042,6.24887,21131.55273,0.05117
133.142,6.25731,21134.08789,0.05123
133.242,6.2655,21130.87891,0.0513
133.342,6.274,21132.57617,0.05136
133.442,6.28225,21135.33984,0.05143
133.542,6.29081,21131.79492,0.0515
133.642,6.29862,21127.81836,0.05156
133.742,6.307,21132.83789,0.05162
133.842,6.31581,21135.99219,0.05169
133.942,6.324,21134.23633,0.05176
134.042,6.33231,21133.82227,0.05182
134.142,6.34081,21134.32617,0.05189
134.242,6.34869,21127.09961,0.05195
134.342,6.35712,21131.70898,0.05202
134.442,6.3655,21134.22266,0.05208
134.542,6.37394,21131.09375,0.05215
134.642,6.38219,21133.42188,0.05222
134.742,6.39056,21134.39258,0.05228
134.842,6.39906,21132.28516,0.05235
134.942,6.40706,21131.26172,0.05241
135.042,6.41562,21135.32812,0.05248
135.142,6.42394,21133.44336,0.05254
135.242,6.432,21128.86133,0.05261
135.342,6.4405,21134.22852,0.05267
135.442,6.44906,21138.16602,0.05274
135.542,6.4575,21134.81836,0.05281
135.642,6.46569,21134.65039,0.05287
135.742,6.47394,21133.35547,0.05294
135.842,6.48225,21131.48633,0.053
135.942,6.49019,21128.91016,0.05307
136.042,6.49887,21134.83008,0.05313
136.142,6.5075,21138.27344,0.0532
136.242,6.51569,21132.46094,0.05327
136.342,6.52387,21130.42773,0.05333
136.442,6.53212,21134.46094,0.0534
136.542,6.54075,21134.37305,0.05346
136.642,6.54869,21131.625,0.05353
136.742,6.55719,21135.60156,0.05359
136.842,6.56581,21135.44922,0.05366
136.942,6.57375,21131.24414,0.05372
137.042,6.58219,21135.00195,0.05379
137.142,6.59087,21137.83984,0.05386
137.242,6.59894,21130.92188,0.05392
137.342,6.60725,21132.12109,0.05399
137.442,6.61544,21132.17773,0.05405
137.542,6.62381,21129.55664,0.05412
137.642,6.63212,21134.94727,0.05418
137.742,6.64069,21137.00586,0.05425
137.842,6.64919,21133.02148,0.05432
137.942,6.65706,21129.17773,0.05438
138.042,6.66544,21132.64258,0.05445
138.142,6.67387,21134.58789,0.05451
138.242,6.68212,21131.83008,0.05458
138.342,6.69062,21135.88281,0.05464
138.442,6.69906,21136.4668,0.05471
138.542,6.70725,21131.33594,0.05477
138.642,6.71556,21134.32227,0.05484
138.742,6.72394,21134.88086,0.05491
138.842,6.73244,21134.13086,0.05497
138.942,6.74037,21128.29492,0.05504
139.042,6.74875,21132.04102,0.0551
139.142,6.75725,21135.32031,0.05517
139.242,6.76569,21133.86328,0.05523
139.342,6.77406,21133.30273,0.0553
139.442,6.78225,21133.75977,0.05537
139.542,6.79075,21131.99023,0.05543
139.642,6.7985,21128.45117,0.05549
139.742,6.80712,21135.61719,0.05556
139.842,6.81587,21137.26953,0.05563
139.942,6.824,21133.33789,0.05569
140.042,6.83225,21131.94922,0.05576
140.142,6.84062,21133.38281,0.05582
140.242,6.84875,21128.38086,0.05589
140.342,6.85731,21133.67578,0.05596
140.442,6.86556,21132.92578,0.05602
140.542,6.87387,21128.7793,0.05609
140.642,6.88206,21132.01953,0.05615
140.742,6.89056,21134.13867,0.05622
140.842,6.89919,21133.31641,0.05629
140.942,6.90712,21129.2168,0.05635
141.042,6.91562,21132.12109,0.05642
141.142,6.92394,21132.08984,0.05648
141.242,6.93194,21126.94141,0.05654
141.342,6.94056,21133.80664,0.05661
141.442,6.94906,21135.92383,0.05668
141.542,6.9575,21131.92773,0.05675
141.642,6.96562,21131.58984,0.05681
141.742,6.97381,21130.17383,0.05687
141.842,6.98231,21130.55859,0.05694
141.942,6.99044,21129.25,0.057
142.042,6.99887,21131.32812,0.05707
142.142,7.00744,21133.77539,0.05714
142.242,7.01556,21127.89062,0.0572
142.342,7.02387,21128.70898,0.05727
142.442,7.03225,21133.28906,0.05733
142.542,7.04081,21130.99609,0.0574
142.642,7.04869,21127.76953,0.05746
142.742,7.05712,21130.64453,0.05753
142.842,7.06569,21130.80664,0.0576
142.942,7.07387,21130.73828,0.05766
143.042,7.08231,21132.08984,0.05773
143.142,7.09081,21133.34375,0.05779
143.242,7.09887,21125.0918,0.05786
143.342,7.10706,21126.62109,0.05792
143.442,7.11537,21128.80859,0.05799
143.542,7.12394,21128.54102,0.05806
143.642,7.13219,21130.36133,0.05812
143.742,7.14069,21130.73242,0.05819
143.842,7.14912,21127.77539,0.05825
143.942,7.15694,21124.28906,0.05832
144.042,7.16562,21130.26562,0.05838
144.142,7.17406,21130.67578,0.05845
144.242,7.18206,21124.11523,0.05851
144.342,7.19062,21129.60547,0.05858
144.442,7.19894,21130.42578,0.05865
144.542,7.20731,21127.37305,0.05871
144.642,7.21569,21130.38281,0.05878
144.742,7.22394,21127.75977,0.05884
144.842,7.23244,21126.62109,0.05891
144.942,7.24025,21122.67969,0.05897
145.042,7.24875,21126.29297,0.05904
145.142,7.25744,21131.58789,0.05911
145.242,7.26569,21126.36719,0.05917
145.342,7.274,21124.5625,0.05924
145.442,7.28212,21126.41406,0.0593
145.542,7.29062,21124.55273,0.05937
145.642,7.29869,21124.33594,0.05943
145.742,7.30719,21128.54688,0.0595
145.842,7.31587,21128.67969,0.05957
145.942,7.32394,21124.89648,0.05963
146.042,7.33212,21124.84766,0.0597
146.142,7.34075,21127.9375,0.05976
146.242,7.34894,21122.80469,0.05983
146.342,7.35725,21123.76758,0.05989
146.442,7.3655,21123.76758,0.05996
146.542,7.37375,21119.60742,0.06002
146.642,7.382,21124.03906,0.06009
146.742,7.39075,21128.49414,0.06016
146.842,7.39925,21124.07227,0.06022
146.942,7.40712,21120.07812,0.06029
147.042,7.41556,21123.19727,0.06035
147.142,7.42381,21122.14648,0.06042
147.242,7.432,21120.48047,0.06048
147.342,7.44069,21127.14258,0.06055
147.442,7.44912,21126.61133,0.06062
147.542,7.45737,21121.24023,0.06068
147.642,7.4655,21121.64258,0.06075
147.742,7.47387,21122.51758,0.06081
147.842,7.48244,21123.17969,0.06088
147.942,7.49037,21117.67773,0.06094
148.042,7.49881,21120.32422,0.06101
148.142,7.50725,21122.83203,0.06107
148.242,7.51556,21120.28516,0.06114
148.342,7.524,21121.38477,0.06121
148.442,7.53225,21123.02148,0.06127
148.542,7.54081,21119.50586,0.06134
148.642,7.54862,21116.15039,0.0614
148.742,7.55706,21120.60547,0.06147
148.842,7.56581,21122.38867,0.06154
148.942,7.574,21120.31641,0.0616
149.042,7.58231,21119.82812,0.06167
149.142,7.59075,21120.625,0.06173
149.242,7.59875,21114.01172,0.06179
149.342,7.60712,21117.06641,0.06186
149.442,7.6155,21119.12305,0.06193
149.542,7.62394,21115.70898,0.06199
149.642,7.63212,21118.02539,0.06206
149.742,7.64056,21118.17383,0.06212
149.842,7.64906,21116.30078,0.06219
149.942,7.65712,21115.06055,0.06225
150.042,7.66562,21118.32617,0.06232
150.142,7.67394,21117.06055,0.06239
150.242,7.682,21112.05273,0.06245
150.342,7.6905,21116.57031,0.06252
150.442,7.699,21119.21484,0.06258
150.542,7.70744,21116.50391,0.06265
150.642,7.71569,21116.35352,0.06272
150.742,7.72387,21114.42578,0.06278
150.842,7.73225,21112.85938,0.06285
150.942,7.74025,21110.02734,0.06291
151.042,7.74894,21115.23242,0.06298
151.142,7.7575,21117.30859,0.06304
151.242,7.76569,21111.6875,0.06311
151.342,7.77387,21110.12891,0.06317
151.442,7.78212,21113.61914,0.06324
151.542,7.79075,21112.54492,0.06331
151.642,7.79869,21110.01367,0.06337
151.742,7.80719,21113.39062,0.06344
151.842,7.81575,21113.26367,0.0635
151.942,7.82375,21109.48438,0.06357
152.042,7.83225,21112.49805,0.06363
152.142,7.84081,21114.82812,0.0637
152.242,7.84894,21106.75781,0.06376
152.342,7.85725,21108.39844,0.06383
152.442,7.86537,21107.36914,0.06389
152.542,7.87375,21105.69531,0.06396
152.642,7.88219,21111.89453,0.06403
152.742,7.89075,21112.91797,0.06409
152.842,7.89919,21107.89453,0.06416
152.942,7.907,21103.13086,0.06422
153.042,7.91544,21107.44922,0.06429
153.142,7.92394,21108.53711,0.06435
153.242,7.93212,21105.46484,0.06442
153.342,7.94069,21109.4082,0.06449
153.442,7.949,21109.50781,0.06455
153.542,7.95725,21104.5332,0.06462
153.642,7.96556,21107.21289,0.06468
153.742,7.974,21107.75195,0.06475
153.842,7.9825,21105.57812,0.06482
153.942,7.99037,21100.65234,0.06488
154.042,7.99869,21102.27344,0.06494
154.142,8.00731,21106.90625,0.06501
154.242,8.01569,21104.93359,0.06508
154.342,8.02406,21103.61328,0.06514
154.442,8.03225,21104.5332,0.06521
154.542,8.04069,21101.30078,0.06527
154.642,8.04856,21098.91992,0.06534
154.742,8.05706,21104.27344,0.0654
154.842,8.06587,21106.23242,0.06547
154.942,8.07394,21101.52148,0.06554
155.042,8.08225,21101.1582,0.0656
155.142,8.09062,21102.10156,0.06567
155.242,8.09881,21097.01172,0.06573
155.342,8.10725,21100.51562,0.0658
155.442,8.11556,21099.56055,0.06586
155.542,8.12394,21095.97852,0.06593
155.642,8.13206,21098.00195,0.06599
155.742,8.14056,21100.10742,0.06606
155.842,8.14919,21099.31055,0.06613
155.942,8.15712,21095.5625,0.06619
156.042,8.16562,21097.48633,0.06626
156.142,8.17387,21096.2168,0.06632
156.242,8.18194,21092.55859,0.06639
156.342,8.19056,21098.72656,0.06645
156.442,8.19912,21101.70703,0.06652
156.542,8.20744,21095.37109,0.06659
156.642,8.21562,21095.00195,0.06665
156.742,8.22375,21093.40039,0.06672
156.842,8.23225,21093.61523,0.06678
156.942,8.24044,21092.78516,0.06685
157.042,8.24887,21093.74609,0.06691
157.142,8.25737,21095.5332,0.06698
157.242,8.26556,21091.18555,0.06704
157.342,8.27387,21090.50586,0.06711
157.442,8.28225,21094.46289,0.06718
157.542,8.29081,21092.1543,0.06724
157.642,8.29869,21088.83203,0.06731
157.742,8.30706,21091.05078,0.06737
157.842,8.31569,21090.56641,0.06744
157.942,8.32387,21090.43555,0.0675
158.042,8.33231,21091.50586,0.06757
158.142,8.34081,21091.81641,0.06764
158.242,8.34887,21084.20508,0.0677
158.342,8.35706,21084.79883,0.06777
158.442,8.36544,21087.91797,0.06783
158.542,8.37394,21085.73828,0.0679
158.642,8.38219,21088.41602,0.06796
158.742,8.39069,21088.67773,0.06803
158.842,8.39906,21084.21875,0.0681
158.942,8.407,21081.48438,0.06816
159.042,8.41562,21087.57422,0.06823
159.142,8.424,21086.44922,0.06829
159.242,8.43206,21080.33594,0.06836
159.342,8.44062,21085.26172,0.06842
159.442,8.44894,21085.02539,0.06849
159.542,8.45731,21082.30859,0.06855
159.642,8.46569,21084.92188,0.06862
159.742,8.47394,21082.90039,0.06869
159.842,8.48244,21080.69727,0.06875
159.942,8.49031,21076.54688,0.06881
160.042,8.49875,21079.7207,0.06888
160.142,8.50737,21084.24805,0.06895
160.242,8.51569,21080.13086,0.06901
160.342,8.524,21077.84961,0.06908
160.442,8.53212,21079.05469,0.06914
160.542,8.54056,21075.6543,0.06921
160.642,8.54862,21075.66797,0.06927
160.742,8.55719,21079.91602,0.06934
160.842,8.56587,21079.63477,0.06941
160.942,8.57394,21075.1582,0.06947
161.042,8.58212,21074.76562,0.06954
161.142,8.59075,21077.88281,0.06961
161.242,8.59894,21072.77148,0.06967
161.342,8.60731,21073.63867,0.06974
161.442,8.6155,21071.9707,0.0698
161.542,8.62381,21069.08789,0.06987
161.642,8.632,21073.08594,0.06993
161.742,8.64069,21075.94531,0.07
161.842,8.64919,21071.875,0.07007
161.942,8.65712,21067.95703,0.07013
162.042,8.66556,21070.68359,0.07019
162.142,8.67381,21069.44531,0.07026
162.242,8.682,21066.57031,0.07032
162.342,8.69069,21073.08594,0.07039
162.442,8.69906,21071.94922,0.07046
162.542,8.70737,21066.86133,0.07052
162.642,8.7155,21066.66992,0.07059
162.742,8.72387,21067.20117,0.07065
162.842,8.73244,21067.6543,0.07072
162.942,8.74044,21063.05078,0.07078
163.042,8.74887,21064.75,0.07085
163.142,8.75725,21065.70703,0.07092
163.242,8.7655,21062.55859,0.07098
163.342,8.774,21064.20312,0.07105
163.442,8.78231,21066.19336,0.07111
163.542,8.79075,21061.66992,0.07118
163.642,8.79862,21058.80859,0.07124
163.742,8.807,21061.61328,0.07131
163.842,8.81575,21063.875,0.07138
163.942,8.824,21062.11719,0.07144
164.042,8.83231,21060.5625,0.07151
164.142,8.84081,21061.64062,0.07157
164.242,8.84869,21053.07422,0.07164
164.342,8.85712,21056.68945,0.0717
164.442,8.86556,21059.21094,0.07177
164.542,8.87394,21054.78125,0.07184
164.642,8.88212,21056.69531,0.0719
164.742,8.89056,21056.97461,0.07197
164.842,8.89906,21054.14062,0.07203
164.942,8.90712,21052.59375,0.0721
165.042,8.91562,21055.87109,0.07216
165.142,8.924,21053.68359,0.07223
165.242,8.932,21048.47656,0.07229
165.342,8.9405,21052.88477,0.07236
165.442,8.949,21055.56055,0.07243
165.542,8.95744,21052.50781,0.07249
165.642,8.96569,21051.76953,0.07256
165.742,8.97394,21049.54492,0.07262
165.842,8.98231,21047.20898,0.07269
165.942,8.99025,21044.37305,0.07275
166.042,8.99894,21049.36328,0.07282
166.142,9.0075,21050.9082,0.07289
166.242,9.01562,21044.94727,0.07295
166.342,9.02387,21043.68945,0.07302
166.442,9.03212,21046.44727,0.07308
166.542,9.04075,21045.68359,0.07315
166.642,9.04875,21043.01172,0.07321
166.742,9.05719,21044.82031,0.07328
166.842,9.06581,21044.45312,0.07335
166.942,9.07375,21040.63672,0.07341
167.042,9.08219,21043.27148,0.07348
167.142,9.09081,21044.80664,0.07354
167.242,9.09894,21037.02148,0.07361
167.342,9.10725,21038.23242,0.07367
167.442,9.11537,21037.01758,0.07374
167.542,9.12375,21035.15625,0.0738
167.642,9.13219,21040.54688,0.07387
167.742,9.14075,21040.49219,0.07394
167.842,9.14919,21036.26172,0.074
167.942,9.157,21031.12109,0.07406
168.042,9.16544,21034.36133,0.07413
168.142,9.17394,21035.44141,0.0742
168.242,9.18212,21031.41602,0.07426
168.342,9.19069,21035.48242,0.07433
168.442,9.19906,21034.91992,0.0744
168.542,9.20725,21029.41992,0.07446
168.642,9.21556,21031.91602,0.07453
168.742,9.224,21032.23438,0.07459
168.842,9.23237,21028.67578,0.07466
168.942,9.24037,21023.875,0.07472
169.042,9.24869,21026.27539,0.07479
169.142,9.25731,21030.37109,0.07485
169.242,9.26569,21027.28711,0.07492
169.342,9.27406,21025.62891,0.07499
169.442,9.28225,21025.53516,0.07505
169.542,9.29062,21022.49219,0.07512
169.642,9.2985,21020.12305,0.07518
169.742,9.30712,21025.11133,0.07525
169.842,9.31587,21026.38281,0.07532
169.942,9.324,21021.46094,0.07538
170.042,9.33225,21020.64648,0.07544
170.142,9.34062,21021.31055,0.07551
170.242,9.34881,21016.00391,0.07557
170.342,9.35731,21019.49219,0.07564
170.442,9.3655,21017.71094,0.07571
170.542,9.37394,21013.85547,0.07577
170.642,9.382,21015.57617,0.07584
170.742,9.39056,21017.21094,0.0759
170.842,9.39919,21016.20312,0.07597
170.942,9.40712,21012.14453,0.07603
171.042,9.41562,21013.52734,0.0761
171.142,9.42394,21012.5918,0.07617
171.242,9.43187,21007.21094,0.07623
171.342,9.44062,21013.88867,0.0763
171.442,9.44912,21015.39648,0.07636
171.542,9.45744,21008.77148,0.07643
171.642,9.46562,21008.35352,0.07649
171.742,9.47375,21006.40625,0.07656
171.842,9.48231,21006.08789,0.07663
171.942,9.49044,21004.34766,0.07669
172.042,9.49894,21005.5625,0.07676
172.142,9.50744,21007.02148,0.07682
172.242,9.51556,21001.12891,0.07689
172.342,9.52387,21000.82227,0.07695
172.442,9.53225,21004.16406,0.07702
172.542,9.54075,21000.73047,0.07709
172.642,9.54862,20996.71094,0.07715
172.742,9.55712,21000.32617,0.07721
172.842,9.56569,20999.70703,0.07728
172.942,9.57387,20997.91211,0.07735
173.042,9.58231,20999.00391,0.07741
173.142,9.59081,20998.76758,0.07748
173.242,9.59887,20991.14844,0.07754
173.342,9.60706,20991.49023,0.07761
173.442,9.61537,20992.5,0.07767
173.542,9.62394,20991.29688,0.07774
173.642,9.63219,20993.32422,0.07781
173.742,9.64069,20993.26172,0.07787
173.842,9.64912,20988.67969,0.07794
173.942,9.65694,20984.39844,0.078
174.042,9.66556,20989.14453,0.07807
174.142,9.67394,20988.69922,0.07813
174.242,9.68206,20982.47461,0.0782
174.342,9.69062,20987.30664,0.07827
174.442,9.69894,20986.79883,0.07833
174.542,9.70737,20983.50977,0.0784
174.642,9.71569,20984.66016,0.07846
174.742,9.72394,20981.93555,0.07853
174.842,9.73244,20979.87695,0.0786
174.942,9.74031,20975.43945,0.07866
175.042,9.74875,20977.82812,0.07872
175.142,9.75744,20981.40625,0.07879
175.242,9.76569,20976.01953,0.07886
175.342,9.77406,20974.85938,0.07892
175.442,9.78218,20974.8418,0.07899
175.542,9.79062,20972.31445,0.07905
175.642,9.79862,20970.25977,0.07912
175.742,9.80712,20973.53516,0.07918
175.842,9.81587,20973.49023,0.07925
175.942,9.82394,20968.78125,0.07932
176.042,9.83212,20968.44531,0.07938
176.142,9.84075,20970.17969,0.07945
176.242,9.84894,20964.18945,0.07951
176.342,9.85725,20964.91406,0.07958
176.442,9.8655,20964.2168,0.07964
176.542,9.87381,20959.83789,0.07971
176.642,9.882,20962.74219,0.07977
176.742,9.89069,20965.00586,0.07984
176.842,9.89925,20961.30469,0.07991
176.942,9.90712,20955.91406,0.07997
177.042,9.91556,20958.16797,0.08004
177.142,9.92381,20955.90625,0.0801
177.242,9.932,20953.42383,0.08017
177.342,9.94069,20959.26367,0.08023
177.442,9.94912,20957.66602,0.0803
177.542,9.95737,20951.91992,0.08037
