Time,Extension,Load,Tensile strain (Strain 1)
(s),(mm),(N),(mm/mm)
"0.00000","-0.01644","-0.49682","0.00001"
"0.10000","-0.01131","50.17495","0.00002"
"0.20000","-0.00044","295.96613","0.00004"
"0.30000","0.00844","470.63281","0.00005"
"0.40000","0.01694","606.79187","0.00006"
"0.50000","0.02531","717.12292","0.00007"
"0.60000","0.03375","806.57733","0.00007"
"0.70000","0.04219","880.83307","0.00006"
"0.80000","0.05056","942.59216","0.00006"
"0.90000","0.05856","1001.23730","0.00005"
"1.00000","0.06712","1057.91895","0.00002"
"1.10000","0.07537","1107.96948","-0.00001"
"1.20000","0.08344","1155.28442","-0.00005"
"1.30000","0.09219","1204.68909","-0.00010"
"1.40000","0.10056","1248.73071","-0.00013"
"1.50000","0.10881","1288.30029","-0.00015"
"1.60000","0.11712","1330.17920","-0.00015"
"1.70000","0.12550","1372.26379","-0.00016"
"1.80000","0.13381","1410.48718","-0.00017"
"1.90000","0.14181","1450.83325","-0.00016"
"2.00000","0.15044","1493.34619","-0.00017"
"2.10000","0.15894","1533.84534","-0.00017"
"2.20000","0.16706","1575.30945","-0.00017"
"2.30000","0.17556","1619.00574","-0.00018"
"2.40000","0.18387","1662.33960","-0.00018"
"2.50000","0.19200","1703.62927","-0.00018"
"2.60000","0.20025","1747.15576","-0.00017"
"2.70000","0.20869","1793.28540","-0.00017"
"2.80000","0.21719","1837.78516","-0.00017"
